"filename","sentence","category","whole text"
"5-freitag-28-1-22_b1","Auf Deutsch heißt das Gemälde ""Schmerzensmann"".","definition","Gemälde für rund 45 Millionen Dollar versteigert  In New York ist ein Gemälde des italienischen Malers Sandro Botticelli bei einer Versteigerung für rund 45 Millionen Dollar versteigert worden. 3 Bieter sollen sich 7 Minuten lang einen Wettstreit um das Gemälde geliefert haben. Wer das Gemälde bekam, wurde zunächst nicht mitgeteilt. Das Bild stammt aus dem späten 15. Jahrhundert oder dem frühen 16. Jahrhundert. Es ist ein Porträt von Jesus Christus und trägt den Namen: ""The Man of Sorrows"". Auf Deutsch heißt das Gemälde ""Schmerzensmann"". "
"3-freitag-28-1-22_b1","Im letzten Jahr ist Energie viel teurer geworden.","background","Energie-Kostenausgleich für fast alle Haushalte in Österreich  Im letzten Jahr ist Energie viel teurer geworden. Viele Haushalte haben Schwierigkeiten, ihre Energie-Rechnung zu bezahlen. Deshalb hat die österreichische Regierung einen sogenannten Energie-Kostenausgleich beschlossen. Fast alle österreichischen Haushalte bekommen einmal 150 Euro. Bedürftige Haushalte bekommen noch einmal 150 Euro dazu. Das gilt zum Beispiel für Arbeitslose und Menschen, die Mindestsicherung oder eine sehr niedrige Pension bekommen. Damit will die Regierung verhindern, dass im Winter Haushalte in Not geraten. "
"5-29-11-21_b1","Pub ist der englische Begriff für ein Lokal.","definition","Gäste seit 3 Nächten in britischem Pub eingeschneit  Am Wochenende ist in England ein Pub mit rund 60 Gästen bei einem Sturm eingeschneit worden. Pub ist der englische Begriff für ein Lokal. Die Gäste müssen bereits seit 3 Nächten in dem Pub bleiben. Die Besucher konnten am Freitag nach einem Konzert das Lokal nicht mehr verlassen, weil es einen Schneesturm gab. Den Gästen scheint das aber nicht viel auszumachen. Laut der Wirtin vertrieben sich die Gäste die Zeit bisher mit Singen, Rätsel-Raten und Spielen. Auch zu essen gab es genug. Die Alkoholausschank wurde allerdings beschränkt. Wann die Straßen zu dem abgelegenen Pub wieder frei sein werden, ist bisher noch unklar. "
"5-29-11-21_b1","Den Gästen scheint das aber nicht viel auszumachen.","relation","Gäste seit 3 Nächten in britischem Pub eingeschneit  Am Wochenende ist in England ein Pub mit rund 60 Gästen bei einem Sturm eingeschneit worden. Pub ist der englische Begriff für ein Lokal. Die Gäste müssen bereits seit 3 Nächten in dem Pub bleiben. Die Besucher konnten am Freitag nach einem Konzert das Lokal nicht mehr verlassen, weil es einen Schneesturm gab. Den Gästen scheint das aber nicht viel auszumachen. Laut der Wirtin vertrieben sich die Gäste die Zeit bisher mit Singen, Rätsel-Raten und Spielen. Auch zu essen gab es genug. Die Alkoholausschank wurde allerdings beschränkt. Wann die Straßen zu dem abgelegenen Pub wieder frei sein werden, ist bisher noch unklar. "
"4-21-2-18_b1","Auf der Insel Borneo in Asien lebt im Dschungel eine Affenart namens Orang-Utan.","background","Ein weißer Orang-Utan ist wieder zurück in der Natur  Auf der Insel Borneo in Asien lebt im Dschungel eine Affenart namens Orang-Utan. Diese Menschenaffen haben normalerweise rot-braunes Fell. Im April 2017 wurde aber in einem Dorf ein weißes Orang-Utan Weibchen gefunden. Es war verletzt. Das Orang-Utan Weibchen wurde von Pflegern gesund gepflegt und Alba getauft. Jetzt wurde Alba zurück in den Dschungel gebracht. Weiße Orang-Utans sind sehr selten. Daher kann es sein, dass Wilderer Alba jagen werden. Deshalb steht Alba unter besonderem Schutz. Sie wird Tag und Nacht von insgesamt 24 Personen bewacht.  "
"2-freitag-28-1-22_b1","Energiepreise wurden für die österreichischen Haushalte im letzten Jahr viel teurer.","background","Energie war im Dezember um 24 Prozent teurer als ein Jahr davor  Energiepreise wurden für die österreichischen Haushalte im letzten Jahr viel teurer. Im Dezember 2021 war Energie insgesamt um 24,1 Prozent teurer als ein Jahr davor. Heizöl kostete sogar um 44,3 Prozent mehr, Diesel wurde um 33,9 Prozent teurer und Superbenzin um 31,3 Prozent. Der Preis für Erdgas stieg um 27,7 Prozent, und für Strom musste man um 12,4 Prozent mehr bezahlen. Bei Fernwärme war die Preissteigerung am geringsten, sie machte nur 3,4 Prozent aus. Die Preise für Strom und Gas werden wahrscheinlich noch weiter steigen. "
"2-29-11-21_b1","Nach einer Woche Lockdown in Österreich hat die Regierung am Montag Gespräche zur Corona-Lage gestartet.","background","Regierung empfing Experten zu Gesprächen über Corona-Lage  Nach einer Woche Lockdown in Österreich hat die Regierung am Montag Gespräche zur Corona-Lage gestartet. Dazu trafen sich mehrere Regierungs-Mitglieder mit den Sozialpartnern und Experten aus Wissenschaft und Wirtschaft. Besprochen wurde die aktuelle Entwicklung in der Corona-Krise und die neue Corona-Variante Omikron. Wichtige Entscheidungen gab es bei dem Treffen nicht. Man weiß auch noch nicht, wie es nach dem geplanten Lockdown-Ende am 12. Dezember weiter gehen soll. Die Regierung will die Corona-Lage in den nächsten Tagen jetzt erstmal weiter beobachten. Am Dienstag will die Regierung dann mit den Experten über die geplante Impf-Pflicht beraten. "
"2-21-2-18_b1","In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt.","background","Spanien und Katalonien wollen ihren Streit beenden  In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt. Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker. Dadurch wurde der Streit zwischen Spanien und Katalonien noch stärker. Heuer bekam Spanien eine neue Regierung. Premier-Minister von Spanien ist nun Pedro Sanchez. Er will den Streit mit Katalonien beenden. Darauf hat sich Sanchez mit dem Präsidenten der Region Katalonien geeinigt. "
"2-21-2-18_b1","Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker.","background","Spanien und Katalonien wollen ihren Streit beenden  In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt. Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker. Dadurch wurde der Streit zwischen Spanien und Katalonien noch stärker. Heuer bekam Spanien eine neue Regierung. Premier-Minister von Spanien ist nun Pedro Sanchez. Er will den Streit mit Katalonien beenden. Darauf hat sich Sanchez mit dem Präsidenten der Region Katalonien geeinigt. "
"2-21-2-18_b1","Dadurch wurde der Streit zwischen Spanien und Katalonien noch stärker.","background","Spanien und Katalonien wollen ihren Streit beenden  In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt. Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker. Dadurch wurde der Streit zwischen Spanien und Katalonien noch stärker. Heuer bekam Spanien eine neue Regierung. Premier-Minister von Spanien ist nun Pedro Sanchez. Er will den Streit mit Katalonien beenden. Darauf hat sich Sanchez mit dem Präsidenten der Region Katalonien geeinigt. "
